"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"514","@kylekinane @Delta How about they properly train her instead of firing her? She probably needs the job",FALSE,0,"kylekinane",2017-09-26 16:48:45,FALSE,"912691021972164608","912720610886848514","26535267","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Paul_E_D",0,FALSE,FALSE,NA,NA
"515","@mattjustice13 @Delta Me too!",FALSE,0,"mattjustice13",2017-09-26 16:48:35,FALSE,"912720228844396545","912720569145155586","425240454","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Deankolicious",0,FALSE,FALSE,NA,NA
"516","@backlon @Delta LMAO",FALSE,0,"backlon",2017-09-26 16:48:34,FALSE,"912718846015938560","912720564716015617","1090141","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thecanonm8",0,FALSE,FALSE,NA,NA
"517","@blevdog_ @Delta They all suck now. I cashed out my American Miles &amp; will now take the flight that makes the most sense.",FALSE,0,"blevdog_",2017-09-26 16:48:31,FALSE,"912717786048114689","912720551919026176","15794356","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","msft_tinkering",0,FALSE,FALSE,NA,NA
"518","@cghaoui @Delta Yeah it's definitely drastic. Join the sapphire reserve club?",FALSE,0,"cghaoui",2017-09-26 16:48:26,FALSE,"912717808290721794","912720531006398466","40117858","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix 2</a>","zmiko",0,FALSE,FALSE,NA,NA
"519","RT @Reid_Spencer: .@Delta raising Amex Diamond waiver from $25K to $250K next year. You read that right. Total betrayal of loyal customers.",FALSE,0,NA,2017-09-26 16:48:26,FALSE,NA,"912720528967962624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alextril",4,TRUE,FALSE,NA,NA
"520","@ZachHonig @Delta @AmericanExpress Hoooooly <ed><U+00A0><U+00BD><ed><U+00B2><U+00A9>",FALSE,0,"ZachHonig",2017-09-26 16:48:25,FALSE,"912715708265459712","912720526514286593","15449147","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FlightWonk",0,FALSE,FALSE,NA,NA
"521","RT @jayfonsecapr: I guess @Delta and @AmericanAir call it “supply and demand”…there’s a humanitarian crisis and that’s what they do. Shame.…",FALSE,0,NA,2017-09-26 16:48:24,FALSE,NA,"912720519887294464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","quittamdj",57,TRUE,FALSE,NA,NA
"522","@njsamps @Delta Maybe small change. Maybe okay.",FALSE,0,"njsamps",2017-09-26 16:48:11,FALSE,"912717184975085568","912720468481675264","19426756","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JasonAyersWWE",0,FALSE,FALSE,NA,NA
"523","@eliza_ohman @Delta <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>",FALSE,0,"eliza_ohman",2017-09-26 16:48:09,FALSE,"912719287453970433","912720457400508416","760658476465065985","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cwwhite212",0,FALSE,FALSE,NA,NA
